[2026-02-17T11:26:49.096+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325750.json to Snowflake stage...
[2026-02-17T11:26:49.738+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325761.json to Snowflake stage...
[2026-02-17T11:26:50.375+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325776.json to Snowflake stage...
[2026-02-17T11:26:51.256+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325787.json to Snowflake stage...
[2026-02-17T11:26:51.898+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325800.json to Snowflake stage...
[2026-02-17T11:26:52.538+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325810.json to Snowflake stage...
[2026-02-17T11:26:53.182+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325820.json to Snowflake stage...
[2026-02-17T11:26:53.905+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325831.json to Snowflake stage...
[2026-02-17T11:26:54.750+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325841.json to Snowflake stage...
[2026-02-17T11:26:55.307+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325851.json to Snowflake stage...
[2026-02-17T11:26:55.970+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325863.json to Snowflake stage...
[2026-02-17T11:26:56.619+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325874.json to Snowflake stage...
[2026-02-17T11:26:57.225+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325885.json to Snowflake stage...
[2026-02-17T11:26:57.790+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325898.json to Snowflake stage...
[2026-02-17T11:26:58.490+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325910.json to Snowflake stage...
[2026-02-17T11:26:59.177+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325921.json to Snowflake stage...
[2026-02-17T11:26:59.805+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325932.json to Snowflake stage...
[2026-02-17T11:27:00.462+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325944.json to Snowflake stage...
[2026-02-17T11:27:00.960+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325955.json to Snowflake stage...
[2026-02-17T11:27:01.486+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325969.json to Snowflake stage...
[2026-02-17T11:27:02.611+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325980.json to Snowflake stage...
[2026-02-17T11:27:03.122+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325991.json to Snowflake stage...
[2026-02-17T11:27:03.625+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326002.json to Snowflake stage...
[2026-02-17T11:27:04.207+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326012.json to Snowflake stage...
[2026-02-17T11:27:04.768+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326023.json to Snowflake stage...
[2026-02-17T11:27:05.308+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326034.json to Snowflake stage...
[2026-02-17T11:27:06.281+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326044.json to Snowflake stage...
[2026-02-17T11:27:06.937+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326054.json to Snowflake stage...
[2026-02-17T11:27:07.583+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326064.json to Snowflake stage...
[2026-02-17T11:27:08.522+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326074.json to Snowflake stage...
[2026-02-17T11:27:09.557+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326084.json to Snowflake stage...
[2026-02-17T11:27:10.004+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326095.json to Snowflake stage...
[2026-02-17T11:27:10.444+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326108.json to Snowflake stage...
[2026-02-17T11:27:10.910+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326121.json to Snowflake stage...
[2026-02-17T11:27:11.368+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326135.json to Snowflake stage...
[2026-02-17T11:27:11.877+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326145.json to Snowflake stage...
[2026-02-17T11:27:12.514+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326157.json to Snowflake stage...
[2026-02-17T11:27:13.095+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326168.json to Snowflake stage...
[2026-02-17T11:27:13.722+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326180.json to Snowflake stage...
[2026-02-17T11:27:14.256+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326190.json to Snowflake stage...
[2026-02-17T11:27:14.780+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326201.json to Snowflake stage...
[2026-02-17T11:27:15.323+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326211.json to Snowflake stage...
[2026-02-17T11:27:15.964+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326221.json to Snowflake stage...
[2026-02-17T11:27:16.621+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326231.json to Snowflake stage...
[2026-02-17T11:27:17.334+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326241.json to Snowflake stage...
[2026-02-17T11:27:18.042+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326252.json to Snowflake stage...
[2026-02-17T11:27:18.644+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326262.json to Snowflake stage...
[2026-02-17T11:27:19.132+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326272.json to Snowflake stage...
[2026-02-17T11:27:19.641+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326282.json to Snowflake stage...
[2026-02-17T11:27:20.195+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326293.json to Snowflake stage...
[2026-02-17T11:27:20.758+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326309.json to Snowflake stage...
[2026-02-17T11:27:21.326+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326320.json to Snowflake stage...
[2026-02-17T11:27:21.869+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326331.json to Snowflake stage...
[2026-02-17T11:27:22.379+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326347.json to Snowflake stage...
[2026-02-17T11:27:22.997+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326358.json to Snowflake stage...
[2026-02-17T11:27:23.537+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326370.json to Snowflake stage...
[2026-02-17T11:27:24.117+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326381.json to Snowflake stage...
[2026-02-17T11:27:24.624+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326391.json to Snowflake stage...
[2026-02-17T11:27:25.156+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326402.json to Snowflake stage...
[2026-02-17T11:27:26.260+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326412.json to Snowflake stage...
[2026-02-17T11:27:26.918+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326422.json to Snowflake stage...
[2026-02-17T11:27:27.560+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326433.json to Snowflake stage...
[2026-02-17T11:27:28.198+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326443.json to Snowflake stage...
[2026-02-17T11:27:28.834+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326452.json to Snowflake stage...
[2026-02-17T11:27:29.488+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326463.json to Snowflake stage...
[2026-02-17T11:27:30.019+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326473.json to Snowflake stage...
[2026-02-17T11:27:30.594+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326483.json to Snowflake stage...
[2026-02-17T11:27:31.232+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326493.json to Snowflake stage...
[2026-02-17T11:27:31.749+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326504.json to Snowflake stage...
[2026-02-17T11:27:32.236+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326514.json to Snowflake stage...
[2026-02-17T11:27:32.758+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326525.json to Snowflake stage...
[2026-02-17T11:27:33.417+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326535.json to Snowflake stage...
[2026-02-17T11:27:34.259+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326545.json to Snowflake stage...
[2026-02-17T11:27:34.814+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326555.json to Snowflake stage...
[2026-02-17T11:27:35.398+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326566.json to Snowflake stage...
[2026-02-17T11:27:36.126+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326576.json to Snowflake stage...
[2026-02-17T11:27:36.770+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326585.json to Snowflake stage...
[2026-02-17T11:27:37.441+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326595.json to Snowflake stage...
[2026-02-17T11:27:38.160+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326605.json to Snowflake stage...
[2026-02-17T11:27:38.769+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326615.json to Snowflake stage...
[2026-02-17T11:27:39.399+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326626.json to Snowflake stage...
[2026-02-17T11:27:39.947+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326636.json to Snowflake stage...
[2026-02-17T11:27:40.445+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326646.json to Snowflake stage...
[2026-02-17T11:27:41.063+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326656.json to Snowflake stage...
[2026-02-17T11:27:41.572+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326666.json to Snowflake stage...
[2026-02-17T11:27:42.106+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326677.json to Snowflake stage...
[2026-02-17T11:27:42.761+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326687.json to Snowflake stage...
[2026-02-17T11:27:43.321+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326697.json to Snowflake stage...
[2026-02-17T11:27:44.125+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326708.json to Snowflake stage...
[2026-02-17T11:27:44.771+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326718.json to Snowflake stage...
[2026-02-17T11:27:45.259+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326728.json to Snowflake stage...
[2026-02-17T11:27:45.751+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771326738.json to Snowflake stage...
